source_repo,source_commit,path,category,review_phase,priority,review_status,assimilation_decision,pqts_target,license_boundary,size_bytes,line_count,sha256,notes
freqtrade/freqtrade,e00a1fd28c03,docs/advanced-backtesting.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,10328,220,052b91d113548f74253697ebef2b820e181eaf70497c1bd8a0fd8b3552a8a699,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/assets/freqUI-backtesting-dark.png,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,95870,284,6124278a4c5d4c36456353cd16610015722d88d9210fe1732e9b3a4795374ce3,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/assets/freqUI-backtesting-light.png,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,93547,295,567ffbd0877cca940354be6b4aa5935b07a6025401686734578abed2be6e0397,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/backtesting.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,55207,675,ad02854028a66e19cc505f8c9238341086c660d9d1788017b6e6ee33c8864506,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/commands/backtesting-analysis.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,4289,73,c3d0d4c78c96d1e24ac4d73da67d538b4b9f8c298135270e44e8fe4c2d888f94,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/commands/backtesting-show.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,2457,45,2af0624282ec61b54be509e8cef4a191006bf4b9b31ef814d4bb10c3d00553b4,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/commands/backtesting.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6619,120,1f390690dff8706241ab3a23def707013dc4fb18694fee0f5a6b43b6a37c9093,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/commands/lookahead-analysis.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6689,120,420504c3a7f057f7313eb47e079a81f5df64b6f0998d5d14f44cca83b0c628d6,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/commands/recursive-analysis.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,3072,60,d5bddc168cd8242629b99da0610c3b6cc8b5b323d8d45122854868faace91ff0,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/lookahead-analysis.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6977,108,d0ec85bc9eb911c8dfd408a4935340da666f2a7ade61a3424697c39bdaea4c57,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,docs/recursive-analysis.md,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6957,70,b03a2bf7f9e2e92a4e0234876f7d3834257669ec4c842dfd08cb913a6ce7e384,"Study validation, reporting, lookahead, and optimization workflow patterns."
